CPU_Total,CPU_P1,CPU_P2,CPU_P3,CPU_P4,Disk_wrVolume,Disk_wraccessVolume,Load_1min,Load_5min,Load_15min,Mem_Avail,Mem_freeTotal,Ping_Time(ms),Ping_Min(ms),Ping_Max(ms),Ping_PacketLoss,Traffic_inVolume,Traffic_outVolume,Class
3,4,2,4,2,2203630.804,26.9972,0.3633,0.245,0.2317,6198922581,8660684800,39.4667,20.1667,82,0,1245814.54,936353.6411,TWM
3,4,2,4,2,2084881.196,28.0028,0.2133,0.22,0.2217,6197016576,8660754432,44.3667,24.3333,83,0,1203075.154,946549.3238,TWM
3.3333,3.8333,2.5,3.8333,2.5,2105351.38,30.0012,0.2283,0.2183,0.22,6194780160,8660493653,39.4333,20,78.6667,0,1179536.846,946764.6762,TWM
3.3333,4.3333,2,4.3333,2,2101620.736,29.093,0.265,0.2317,0.2233,6191813291,8659492181,21.3,7.5,54,0,1135566.934,899415.9765,TWM
3.6667,4.6667,2.3333,4.6667,2.3333,2412163.884,55.9058,0.215,0.2233,0.2183,6188376064,8658038101,46.2667,15.1667,93,0,1258171.566,967658.5235,TWM
3.8333,4,2.8333,4,2.8333,2072566.194,25.9984,0.14,0.2,0.21,6185795584,8657426432,27.8333,17.8333,46.5,0,1150392.493,946511.5291,TWM
3.1667,4,2.1667,4,2.1667,2142623.716,31.1007,0.21,0.2033,0.2067,6183688192,8657299456,15.1333,6.5,34.6667,0,1147193.413,936299.8253,TWM
2.6667,3.5,2.1667,3.5,2.1667,2109034.09,81.9009,0.2683,0.2217,0.21,6173818880,8649418752,26.2333,7.5,86.6667,0,1124187.094,910139.6456,TWM
3.3333,3.8333,2.5,3.8333,2.5,2125831.38,32.0012,0.2017,0.2117,0.205,6165282816,8642861739,21.6333,7.8333,60,0,1224752.847,967509.3684,TWM
3.5,4,2.5,4,2.5,2452684.8,42.5,0.195,0.2067,0.2017,6164422656,8643972437,40.6,10.5,98.5,0,1140625.569,946656,TWM
3.8333,3.8333,3,3.8333,3,1975500.8,29.6,0.1017,0.175,0.1867,6162874368,8644397056,40.3333,16.3333,67.6667,0,1082590.48,936245.035,TWM
4,4,3,4,3,2127872,33.2,0.1317,0.165,0.1817,6162702336,8646184960,29.1667,18.1667,47.5,0,1136842.105,946729.5966,TWM
4,4,3,4,3,2103284.93,32.7979,0.1683,0.1667,0.18,6161928192,8647393280,18.2,7.1667,44.1667,0,1140614.067,946786.8589,TWM
3.6667,4,2.6667,4,2.6667,2117619.7,35.4985,0.1983,0.1767,0.18,6159433728,8646871040,20.3667,6.6667,56,0,1163944.217,936244.965,TWM
3.5,4,2.5,4,2.5,2322444.3,53.5015,0.3283,0.2183,0.1933,6157240320,8646665557,13.2333,6,31.3333,0,1165195.216,946729.6762,TWM
3.6667,4,2.6667,4,2.6667,1914481.47,27.3021,0.2467,0.2133,0.1917,6155261952,8646652587,17.9,6.6667,42.1667,0,1161223.46,946617.3589,TWM
3,4,2,4,2,2099721.533,32.6979,0.2633,0.22,0.1883,6154057728,8647419221,23.0333,7.8333,53.1667,0,1194222.904,941508.2282,TWM
3,4,2,4,2,2094582.467,30.3021,0.3383,0.25,0.2017,6151821312,8647163904,41.4,13,94.3333,0,1109107.999,915198.8108,TWM
3,4,2,4,2,2162379.263,37.797,0.2183,0.2317,0.195,6148554752,8645858645,22.3,11,48.6667,0,1191729.137,952014.1021,TWM
3.8333,4.5,2.6667,4.5,2.6667,1427735.128,30.7982,0.115,0.1933,0.1833,6145116160,8644397056,14.7,6.5,33.8333,0,1174136.605,941378.3544,TWM
3,4,2,4,2,2207766.23,32.7033,0.295,0.2333,0.1933,6142320640,8643584000,12.5,5.8333,29.8333,0,1111338.395,946710.6456,TWM
3,4,2,4,2,2741460.18,31.0015,0.16,0.2067,0.1817,6141202432,8644420267,22.3333,13.1667,44.5,0,1115458.5,936280,TWM
2.8333,3.8333,2,3.8333,2,1363148.8,29.4,0.1917,0.2033,0.1833,6139998208,8645180075,32.6,19.8333,48,0,1138199.615,946531.3544,TWM
2.3333,3.3333,2,3.3333,2,2108604.81,33.3973,0.2683,0.225,0.19,6138191872,8645343232,26.4917,11.5,50.5,3.3333,1088197.885,936299.6456,TWM
