CPU_Total,CPU_P1,CPU_P2,CPU_P3,CPU_P4,Disk_wrVolume,Disk_wraccessVolume,Load_1min,Load_5min,Load_15min,Mem_Avail,Mem_freeTotal,Ping_Time(ms),Ping_Min(ms),Ping_Max(ms),Ping_PacketLoss,Traffic_inVolume,Traffic_outVolume,Class
1,1,1,1,0.6667,28672,5,0.0333,0.06,0.1083,7118016512,7934383445,9.3667,7.8333,11.8333,0,922500.2018,931756.9054,NTS
1,1,1,1,0.1667,16384,3,0.0333,0.0817,0.1483,6976294912,7888742810,13.1667,9.5,20.1667,0,873596.8629,882483.5846,NTS
1,1,1,1,1,33583.9199,6.3994,0,0.0733,0.1333,6973689856,7886660949,9.3333,8,13.1667,0,912198.6,921542.4,NTS
1,1,1,1,0,15563.98,2.7998,0.005,0.02,0.0767,6979637248,7889567744,12.1667,8.3333,23.3333,0,920359.0611,929752.6386,NTS
26,1.5,34.3333,67.1667,0.3333,2146820.613,34.505,1,1.0133,1.08,1636158123,4306991104,8.3667,7.5,9.6667,0,922061.824,931602.6401,WSK
1,1,1,1,1,2093871.92,33.3984,0.055,0.0383,0.085,6389301248,7856192171,8.3667,7.5,9.3333,0,913427.994,921610,TWM
4.5,8.3333,2.5,3.6667,3.1667,4739740.702,38.3219,0.12,0.2029,0.1571,6097461248,7884563797,83.9333,7.8333,384.6667,0,1695640.515,858034.5048,TWM
1,1,1,1,1,16384,3,0,0,0.03,7068282880,7926913024,9.3667,7.6667,12.1667,0,920066.809,930745.646,NTS
26,1,1,100,1,2148358.15,33.001,1.0033,1.1467,1.1717,515309568,3576207360,10.9,8.1667,19.8333,0,912974.8865,921462.1766,WSK
1,1,1,1,1,2066096.202,32.0024,0.0133,0.0167,0.07,2023936000,7852331008,9.8667,7.8333,13.8333,0,917775.5,926736,TWM
1,1,1.3333,1.5,1,1711284.224,33.996,0.0217,0.2017,0.205,207442602.7,7800980821,10.3,7.8333,17.3333,0,923414.3724,931892.6126,TSK
5,9.5,3.6667,2,4,40960,8,0.2,0.2217,0.185,6943892821,7891544747,497.2571,193.1429,830.8571,0,1588626.657,744552.9106,NTS
2,1,2,2,1,2138107.08,33.9992,0.0433,0.0367,0.07,79861760,7804846080,10.8333,7.6667,15.5,0,913597.8919,921692.7748,TSK
26,1,100,0.1667,1,2141275.795,32.9197,1,1,1.0117,76313258.67,2612011008,10.6,7.1667,17.3333,0,923664.1716,931818.6683,WSK
2,1,6.3333,1,1.3333,131477.9099,18.3994,0.0467,0.0833,0.2417,6935576576,7868643328,9.5,7.3333,14.8333,0,922225.5766,930836.0721,TVM
1,1,1,1,1,2099201.23,31.596,0,0.01,0.0633,4909627392,7850216789,8.5667,7.8333,10.1667,0,912607.6411,921461.525,TWM
